"mode", "seed", "ncat", "p11", "p12", "p13", "p14", "th10", "th11", "th12", "th13", "info", "p21", "p22", "p23", "p24", "rmse_p", "rmse_ii", "rmse_iic", "rmse_t", "rmse_tt", "th20", "th21", "th22", "th23", "dth0", "dth1", "dth2", "dth3"
"P2G", 1701, 4, 1, -1.60341369329408, -1.13879933211689, 1.53491733548862, -1.10408124432629, -0.695566028383965, 0.0738876451504208, 1.08179396042948, 0, 0.7498, -0.7065, -1.8764, 1.6843, 0.00349690437509597, 0.0350014102494222, 0.0135867228875809, 0.120648714525236, 0.0356075445613846, -1.30190283262171, -0.642122892648182, 0.104669505584769, 0.958151828526254, 0.197821588295414, -0.0534431357357825, -0.0307818604343483, 0.123642131903224
"P2G", 1701, 4, 1, -1.60341369329408, -1.13879933211689, 1.53491733548862, -1.10408124432629, -0.695566028383965, 0.0738876451504208, 1.08179396042948, 1, 0.5428, -3.1644, 0.1813, 1.6208, 0.0366304412639425, 0.0385243635092186, 0.0182098112668838, 0.196190392850902, 0.208443398715424, -1.08101065276251, -0.394313612098115, 0.272867375490094, 0.929858193117268, -0.0230705915637868, -0.301252416285849, -0.198979730339673, 0.15193576731221
"P2G", 1701, 4, 1, -1.60341369329408, -1.13879933211689, 1.53491733548862, -1.10408124432629, -0.695566028383965, 0.0738876451504208, 1.08179396042948, 2, 0.7202, -1.4898, -1.3627, 1.5853, 0.00883944726215828, 0.0196195995840944, 0.00848847370731507, 0.140730768800071, 0.0365746072708652, -1.33355047809719, -0.642737743907495, 0.108848738530453, 0.931622850658732, 0.229469233770901, -0.0528282844764694, -0.0349610933800319, 0.150171109770746
"P2G", 1701, 4, 1, -2.83194181435478, 0.426470450826252, 1.06254067784207, -1.44138470886033, -0.388670561133519, 0.382791611838526, 0.922869881315181, 0, 0.679, -3.4388, 1.0922, 0.3745, 0.00237983826128476, 0.0149074708022729, 0.00814090888032654, 0.120314150847317, 0.0377786527256703, -1.21749262441549, -0.397803924289419, 0.317997619194433, 0.981968394782868, -0.223892084444836, 0.00913336315590019, 0.0647939926440934, -0.0590985134676871
"P2G", 1701, 4, 1, -2.83194181435478, 0.426470450826252, 1.06254067784207, -1.44138470886033, -0.388670561133519, 0.382791611838526, 0.922869881315181, 1, 0.6984, -2.9344, 0.5447, 1.027, 0.0104648914129494, 0.0061225716369905, 0.00393161925414305, 0.124454024945334, 0.0333618947302326, -1.22637273169322, -0.411675118259589, 0.329783702887062, 1.03416237394201, -0.215011977167107, 0.0230045571260701, 0.0530079089514644, -0.111292492626833
"P2G", 1701, 4, 1, -2.83194181435478, 0.426470450826252, 1.06254067784207, -1.44138470886033, -0.388670561133519, 0.382791611838526, 0.922869881315181, 2, 0.7113, -3.0856, 0.4921, 1.0445, 0.0109171133033437, 0.00644865939663728, 0.00380544604091675, 0.111301303957702, 0.0424769957482615, -1.26490096789633, -0.431247946130182, 0.32279118025475, 1.03685463785174, -0.176483740963994, 0.0425773849966636, 0.0600004315837758, -0.113984756536563
"P2G", 1701, 4, 1, 0.0487127321259882, 0.433460251207046, 0.559424674667953, -0.548746150031392, 0.126499674109948, 0.261322390150579, 0.749842774767895, 0, 0.4165, 1.8614, 1.6739, -2.5809, 0.0026319472752716, 0.00920617757563672, 0.00641351029508206, 0.112410164651439, 0.128532378654602, -0.532047041552133, -0.0777969186564093, 0.349779268186642, 0.776368293726483, -0.0166991084792597, 0.204296592766357, -0.0884568780360628, -0.0265255189585882
"P2G", 1701, 4, 1, 0.0487127321259882, 0.433460251207046, 0.559424674667953, -0.548746150031392, 0.126499674109948, 0.261322390150579, 0.749842774767895, 1, 0.4019, 2.1316, -1.24, 0.1564, 0.0158057480017667, 0.0140836724139635, 0.00789112041263916, 0.129311935472959, 0.147940071844618, -0.579912795597232, -0.123135981607138, 0.319122337960873, 0.765847532031034, 0.0311666455658396, 0.249635655717086, -0.0577999478102937, -0.0160047572631384
"P2G", 1701, 4, 1, 0.0487127321259882, 0.433460251207046, 0.559424674667953, -0.548746150031392, 0.126499674109948, 0.261322390150579, 0.749842774767895, 2, 0.433, 0.9494, 0.984, -1.0994, 0.00934700405714045, 0.00419805508889203, 0.00398298309161693, 0.12723706130752, 0.143155592277361, -0.583620596355394, -0.107391065276606, 0.343636986851632, 0.795233096130972, 0.0348744463240016, 0.233890739386554, -0.0823145967010523, -0.0453903213630765
"P2G", 1701, 4, 1, -1.23928623843075, -0.0825501691750181, -0.0521993903231151, -0.983172855519029, -0.325725985312745, -0.0356353546434783, 0.547646958738898, 0, 0.4816, -1.1428, 4.0366, -4.5814, 0.00399735414351278, 0.019054565855071, 0.00951892658761107, 0.0800461616300014, 0.0782202674622791, -0.902540197776467, -0.411225818153949, 0.0694598845909299, 0.575444364131211, -0.0806326577425626, 0.0854998328412047, -0.105095239234408, -0.0277974053923125
